,id,pop,subpop,region,country,continent,latitude,longitude,TempM,MDiurnalR,Isotherm,TempSeason,MxTempWM,MnTempCM,TempR,MTempWtQ,MTempDQ,MTempWmQ,MTempCQ,Prec,PrecWM,PrecDM,PrecSeason,PrecWtQ,PrecDQ,PrecWmQ,PrecCQ
1,AP_12,AP,AP,PNW,USA,NAM,45.80877,-121.27622,9.654271126,12.41237545,39.10826111,701.2094116,28.58275032,-3.155750036,31.7385006,1.857708335,18.33291626,18.33291626,1.233416677,633,117,8,76.88564301,336,37,37,313
2,AP_14,AP,AP,PNW,USA,NAM,45.80877,-121.27622,9.654271126,12.41237545,39.10826111,701.2094116,28.58275032,-3.155750036,31.7385006,1.857708335,18.33291626,18.33291626,1.233416677,633,117,8,76.88564301,336,37,37,313
3,AP_2,AP,AP,PNW,USA,NAM,45.80877,-121.27622,9.654271126,12.41237545,39.10826111,701.2094116,28.58275032,-3.155750036,31.7385006,1.857708335,18.33291626,18.33291626,1.233416677,633,117,8,76.88564301,336,37,37,313
4,AP_7,AP,AP,PNW,USA,NAM,45.80877,-121.27622,9.654271126,12.41237545,39.10826111,701.2094116,28.58275032,-3.155750036,31.7385006,1.857708335,18.33291626,18.33291626,1.233416677,633,117,8,76.88564301,336,37,37,313
5,AP_9,AP,AP,PNW,USA,NAM,45.80877,-121.27622,9.654271126,12.41237545,39.10826111,701.2094116,28.58275032,-3.155750036,31.7385006,1.857708335,18.33291626,18.33291626,1.233416677,633,117,8,76.88564301,336,37,37,313
6,BJ_1,BJ,BJ,PNW,USA,NAM,48.789608,-122.463926,9.664972305,8.742361069,38.28728867,512.621582,22.72803116,-0.105555557,22.83358765,4.005260944,16.03619576,16.03619576,3.633838415,1217,181,44,44.95788193,497,150,150,431
7,BJ_12,BJ,BJ,PNW,USA,NAM,48.789608,-122.463926,9.664972305,8.742361069,38.28728867,512.621582,22.72803116,-0.105555557,22.83358765,4.005260944,16.03619576,16.03619576,3.633838415,1217,181,44,44.95788193,497,150,150,431
8,BJ_16,BJ,BJ,PNW,USA,NAM,48.789608,-122.463926,9.664972305,8.742361069,38.28728867,512.621582,22.72803116,-0.105555557,22.83358765,4.005260944,16.03619576,16.03619576,3.633838415,1217,181,44,44.95788193,497,150,150,431
9,BJ_17,BJ,BJ,PNW,USA,NAM,48.789608,-122.463926,9.664972305,8.742361069,38.28728867,512.621582,22.72803116,-0.105555557,22.83358765,4.005260944,16.03619576,16.03619576,3.633838415,1217,181,44,44.95788193,497,150,150,431
10,BJ_5,BJ,BJ,PNW,USA,NAM,48.789608,-122.463926,9.664972305,8.742361069,38.28728867,512.621582,22.72803116,-0.105555557,22.83358765,4.005260944,16.03619576,16.03619576,3.633838415,1217,181,44,44.95788193,497,150,150,431
