"","Var1","Freq"
"1","bisque4",30
"2","black",474
"3","blue",7940
"4","brown",1673
"5","brown4",30
"6","cyan",252
"7","darkgreen",211
"8","darkgrey",201
"9","darkmagenta",87
"10","darkolivegreen",100
"11","darkorange",173
"12","darkorange2",31
"13","darkred",221
"14","darkslateblue",28
"15","darkturquoise",207
"16","floralwhite",31
"17","green",1125
"18","greenyellow",308
"19","grey",6
"20","grey60",235
"21","ivory",36
"22","lightcyan",244
"23","lightcyan1",51
"24","lightgreen",233
"25","lightsteelblue1",55
"26","lightyellow",230
"27","magenta",328
"28","mediumpurple3",60
"29","midnightblue",247
"30","orange",183
"31","orangered4",61
"32","paleturquoise",106
"33","pink",369
"34","plum1",63
"35","plum2",27
"36","purple",308
"37","red",478
"38","royalblue",221
"39","saddlebrown",108
"40","salmon",257
"41","sienna3",87
"42","skyblue",149
"43","skyblue3",77
"44","steelblue",108
"45","tan",273
"46","thistle2",23
"47","turquoise",10278
"48","violet",102
"49","white",157
"50","yellow",1192
"51","yellowgreen",85
